[ 00:00:01.994 -->  00:00:18.837] 3 SPEAKER_03
[ 00:00:19.499 -->  00:00:21.298] 0 SPEAKER_00
[ 00:00:21.078 -->  00:00:36.341] 3 SPEAKER_03
[ 00:00:26.001 -->  00:00:26.358] 6 SPEAKER_06
[ 00:00:37.241 -->  00:01:02.911] 4 SPEAKER_04
[ 00:01:03.743 -->  00:01:17.920] 3 SPEAKER_03
[ 00:01:17.920 -->  00:01:47.037] 1 SPEAKER_01
[ 00:01:47.699 -->  00:01:47.733] 1 SPEAKER_01
[ 00:01:47.733 -->  00:02:07.512] 3 SPEAKER_03
[ 00:02:07.512 -->  00:02:07.648] 6 SPEAKER_06
[ 00:02:07.648 -->  00:02:07.699] 3 SPEAKER_03
[ 00:02:07.869 -->  00:02:19.380] 3 SPEAKER_03
[ 00:02:21.689 -->  00:02:30.348] 0 SPEAKER_00
[ 00:02:30.415 -->  00:02:34.643] 0 SPEAKER_00
[ 00:02:36.290 -->  00:03:59.651] 0 SPEAKER_00
[ 00:04:00.908 -->  00:04:17.105] 3 SPEAKER_03
[ 00:04:18.803 -->  00:05:10.246] 0 SPEAKER_00
[ 00:05:11.502 -->  00:06:39.346] 0 SPEAKER_00
[ 00:06:39.889 -->  00:06:48.327] 3 SPEAKER_03
[ 00:06:50.619 -->  00:08:12.894] 0 SPEAKER_00
[ 00:07:31.162 -->  00:07:31.230] 6 SPEAKER_06
[ 00:07:31.315 -->  00:07:31.519] 6 SPEAKER_06
[ 00:08:13.285 -->  00:08:26.765] 0 SPEAKER_00
[ 00:08:27.750 -->  00:09:05.000] 3 SPEAKER_03
[ 00:09:05.000 -->  00:09:42.521] 2 SPEAKER_02
[ 00:09:42.741 -->  00:10:18.446] 2 SPEAKER_02
[ 00:10:18.887 -->  00:10:46.018] 2 SPEAKER_02
[ 00:10:46.052 -->  00:11:23.013] 2 SPEAKER_02
[ 00:11:23.234 -->  00:11:49.074] 2 SPEAKER_02
[ 00:11:49.346 -->  00:11:50.891] 2 SPEAKER_02
[ 00:11:51.264 -->  00:12:12.996] 2 SPEAKER_02
[ 00:12:12.996 -->  00:12:13.098] 3 SPEAKER_03
[ 00:12:13.098 -->  00:12:13.811] 2 SPEAKER_02
[ 00:12:14.235 -->  00:12:14.405] 2 SPEAKER_02
[ 00:12:14.847 -->  00:12:15.101] 2 SPEAKER_02
[ 00:12:15.730 -->  00:12:17.546] 5 SPEAKER_05
[ 00:12:16.918 -->  00:12:34.830] 2 SPEAKER_02
[ 00:12:35.118 -->  00:12:40.789] 2 SPEAKER_02
[ 00:12:40.976 -->  00:13:04.388] 2 SPEAKER_02
[ 00:13:04.507 -->  00:13:17.546] 2 SPEAKER_02
[ 00:13:17.648 -->  00:13:54.168] 2 SPEAKER_02
[ 00:13:54.337 -->  00:14:17.359] 2 SPEAKER_02
[ 00:14:17.699 -->  00:14:26.918] 2 SPEAKER_02
[ 00:14:25.237 -->  00:14:26.222] 6 SPEAKER_06
[ 00:14:27.122 -->  00:14:29.838] 2 SPEAKER_02
[ 00:14:30.348 -->  00:14:46.765] 2 SPEAKER_02
[ 00:14:47.071 -->  00:15:36.273] 2 SPEAKER_02
[ 00:15:36.901 -->  00:15:39.006] 2 SPEAKER_02
[ 00:15:39.006 -->  00:16:00.025] 3 SPEAKER_03
[ 00:16:00.755 -->  00:20:10.942] 1 SPEAKER_01
[ 00:20:11.536 -->  00:20:15.237] 3 SPEAKER_03
[ 00:20:15.237 -->  00:22:25.000] 1 SPEAKER_01
[ 00:22:25.356 -->  00:22:25.373] 1 SPEAKER_01
[ 00:22:29.770 -->  00:22:35.050] 1 SPEAKER_01
[ 00:22:35.220 -->  00:22:36.001] 1 SPEAKER_01
[ 00:22:36.001 -->  00:22:54.269] 3 SPEAKER_03
[ 00:22:54.269 -->  00:23:04.066] 5 SPEAKER_05
[ 00:23:04.388 -->  00:23:05.000] 5 SPEAKER_05
[ 00:23:05.339 -->  00:23:07.342] 5 SPEAKER_05
[ 00:23:07.003 -->  00:23:08.327] 6 SPEAKER_06
[ 00:23:07.852 -->  00:23:42.538] 5 SPEAKER_05
[ 00:23:39.227 -->  00:23:48.056] 3 SPEAKER_03
[ 00:23:42.538 -->  00:23:43.743] 6 SPEAKER_06
[ 00:23:46.816 -->  00:25:22.504] 2 SPEAKER_02
[ 00:24:51.723 -->  00:24:51.910] 6 SPEAKER_06
[ 00:25:22.657 -->  00:25:52.691] 2 SPEAKER_02
[ 00:25:52.589 -->  00:25:52.674] 6 SPEAKER_06
[ 00:25:52.691 -->  00:25:52.911] 6 SPEAKER_06
[ 00:25:52.911 -->  00:26:48.022] 2 SPEAKER_02
[ 00:26:48.106 -->  00:27:00.008] 2 SPEAKER_02
[ 00:27:00.008 -->  00:27:07.325] 3 SPEAKER_03
[ 00:27:06.765 -->  00:27:52.266] 5 SPEAKER_05
[ 00:27:52.606 -->  00:27:52.741] 5 SPEAKER_05
[ 00:27:52.741 -->  00:27:59.584] 3 SPEAKER_03
[ 00:28:00.534 -->  00:29:26.578] 0 SPEAKER_00
[ 00:29:04.779 -->  00:29:05.050] 6 SPEAKER_06
[ 00:29:24.524 -->  00:29:57.631] 3 SPEAKER_03
[ 00:29:58.955 -->  00:29:59.991] 3 SPEAKER_03
[ 00:29:59.991 -->  00:30:01.706] 6 SPEAKER_06
[ 00:30:03.913 -->  00:30:14.134] 4 SPEAKER_04
[ 00:30:04.117 -->  00:30:04.694] 6 SPEAKER_06
[ 00:30:15.271 -->  00:30:26.731] 4 SPEAKER_04
[ 00:30:26.731 -->  00:30:28.344] 3 SPEAKER_03
[ 00:30:29.923 -->  00:30:30.687] 3 SPEAKER_03
[ 00:30:32.402 -->  00:30:41.332] 4 SPEAKER_04
[ 00:30:41.129 -->  00:30:44.388] 3 SPEAKER_03
[ 00:30:42.351 -->  00:30:46.103] 4 SPEAKER_04
[ 00:30:47.342 -->  00:31:06.477] 4 SPEAKER_04
[ 00:31:07.597 -->  00:31:25.882] 4 SPEAKER_04
[ 00:31:26.782 -->  00:31:29.974] 4 SPEAKER_04
[ 00:31:29.991 -->  00:32:16.731] 4 SPEAKER_04
[ 00:32:17.003 -->  00:32:49.091] 4 SPEAKER_04
[ 00:32:50.161 -->  00:33:38.242] 4 SPEAKER_04
[ 00:33:39.601 -->  00:33:56.001] 4 SPEAKER_04
[ 00:34:04.490 -->  00:34:44.813] 4 SPEAKER_04
[ 00:34:05.084 -->  00:34:05.373] 3 SPEAKER_03
[ 00:34:05.594 -->  00:34:06.341] 3 SPEAKER_03
[ 00:34:45.848 -->  00:35:20.008] 4 SPEAKER_04
[ 00:35:20.008 -->  00:35:20.025] 3 SPEAKER_03
[ 00:35:20.025 -->  00:35:20.959] 4 SPEAKER_04
[ 00:35:20.959 -->  00:35:30.585] 3 SPEAKER_03
[ 00:35:30.857 -->  00:35:46.544] 3 SPEAKER_03
[ 00:35:47.224 -->  00:35:47.325] 1 SPEAKER_01
[ 00:35:47.427 -->  00:35:59.159] 1 SPEAKER_01
[ 00:35:59.533 -->  00:36:56.884] 1 SPEAKER_01
[ 00:36:57.699 -->  00:37:33.030] 1 SPEAKER_01
[ 00:37:33.675 -->  00:37:55.797] 2 SPEAKER_02
[ 00:37:57.342 -->  00:38:01.061] 3 SPEAKER_03
[ 00:38:02.402 -->  00:40:50.568] 0 SPEAKER_00
[ 00:40:51.162 -->  00:41:08.565] 3 SPEAKER_03
[ 00:41:06.765 -->  00:41:06.986] 5 SPEAKER_05
[ 00:41:08.005 -->  00:41:37.207] 5 SPEAKER_05
[ 00:41:39.312 -->  00:41:46.663] 4 SPEAKER_04
[ 00:41:47.920 -->  00:42:03.505] 4 SPEAKER_04
[ 00:42:04.049 -->  00:42:04.405] 4 SPEAKER_04
[ 00:42:05.814 -->  00:42:08.887] 3 SPEAKER_03
[ 00:42:09.957 -->  00:43:26.239] 1 SPEAKER_01
[ 00:43:27.292 -->  00:43:28.005] 1 SPEAKER_01
[ 00:43:28.005 -->  00:43:29.193] 3 SPEAKER_03
[ 00:43:29.193 -->  00:45:00.144] 0 SPEAKER_00
[ 00:45:01.366 -->  00:45:12.724] 3 SPEAKER_03
[ 00:45:13.149 -->  00:45:21.112] 5 SPEAKER_05
[ 00:45:14.643 -->  00:45:15.016] 3 SPEAKER_03
[ 00:45:23.573 -->  00:45:23.607] 1 SPEAKER_01
[ 00:45:23.607 -->  00:45:23.624] 5 SPEAKER_05
[ 00:45:23.624 -->  00:46:28.005] 1 SPEAKER_01
[ 00:46:28.005 -->  00:46:28.022] 2 SPEAKER_02
[ 00:46:28.123 -->  00:47:04.117] 2 SPEAKER_02
